glyph_id,unicode,latin_translit,phoneme,root,english_gloss,example_inscription,notes
M01,U+10A60,ʾ,ʔ,ʾ-L-H,god/deity,CIS 344,glottal stop; common in theophoric names
M01a,U+10A60,ʾ,ʔ,ʾ-B-D,to serve/worship,CIS 341,variant form in religious contexts
M01b,U+10A60,ʾ,ʔ,ʾ-R-Ḍ,earth/land,CIS 234,geographical usage
M01c,U+10A60,ʾ,ʔ,ʾ-K-L,to eat/consume,CIS 456,daily life contexts
M01d,U+10A60,ʾ,ʔ,ʾ-D-N,ear/to listen,RES 3967,anatomical/auditory
M01e,U+10A60,ʾ,ʔ,ʾ-M-N,trust/security,CIH 445,faith/reliability
M02,U+10A61,b,b,B-N-Y,to build,CIS 350,bilabial plosive
M02a,U+10A61,b,b,B-Y-T,house/temple,CIH 344,architectural contexts
M02b,U+10A61,b,b,B-ʾ-R,well/water source,RES 4156,hydraulic systems
M02c,U+10A61,b,b,B-W-B,gate/entrance,CIS 389,architectural features
M02d,U+10A61,b,b,B-R-K,blessing/favor,CIH 445,religious formulas
M02e,U+10A61,b,b,B-G-Ḍ,hate/enmity,CIH 445,emotional contexts
M03,U+10A62,g,g,G-N-N,garden/paradise,CIH 445,enclosed spaces
M03a,U+10A62,g,g,G-M-L,camel,RES 3455,desert transport
M03b,U+10A62,g,g,G-B-L,mountain,CIH 378,geographical features
M03c,U+10A62,g,g,G-W-F,body/interior,RES 4089,anatomical references
M03d,U+10A62,g,g,G-Y-R,other/stranger,CIS 567,social categories
M04,U+10A63,d,d,D-Y-R,dwelling/house,CIH 445,residential contexts
M04a,U+10A63,d,d,D-M,blood/life force,CIH 378,vital essence
M04b,U+10A63,d,d,D-B-R,to speak/word,CIH 378,communication
M04c,U+10A63,d,d,D-X-L,to enter,CIS 567,movement contexts
M04d,U+10A63,d,d,D-ʿ-W,supplication/prayer,CIS 445,religious petition
M04e,U+10A63,d,d,D-F-N,burial/interment,RES 4156,funeral rites
M05,U+10A64,h,h,H-W-N,shame/disgrace,CIS 445,social dishonor
M05a,U+10A64,h,h,H-L-K,destruction/ruin,RES 3856,devastation contexts
M05b,U+10A64,h,h,H-D-Y,guidance/direction,CIH 556,leadership
M05c,U+10A64,h,h,H-Y-K-L,temple/sanctuary,CIS 445,sacred architecture
M05d,U+10A64,h,h,H-M-S,whisper/murmur,RES 4221,quiet communication
M06,U+10A65,w,w,W-L-D,child/offspring,RES 4145,genealogy
M06a,U+10A65,w,w,W-D-D,love/beloved,CIS 456,divine epithets
M06b,U+10A65,w,w,W-Q-F,to stop/stand,CIH 445,stationary position
M06c,U+10A65,w,w,W-J-D,to find/discover,RES 3967,acquisition
M06d,U+10A65,w,w,W-S-Ṭ,middle/center,CIS 567,positional
M06e,U+10A65,w,w,W-ʿ-D,promise/appointment,CIH 445,commitment
M07,U+10A66,z,z,Z-R-ʿ,to sow/plant,CIH 592,agricultural activity
M07a,U+10A66,z,z,Z-M-N,time/period,RES 4221,temporal reference
M07b,U+10A66,z,z,Z-Y-T,olive/oil,CIS 445,agricultural product
M07c,U+10A66,z,z,Z-W-J,husband/spouse,CIH 556,marital relation
M07d,U+10A66,z,z,Z-H-R,flower/blossom,RES 3967,botanical
M08,U+10A67,ḥ,ħ,Ḥ-M-D,to praise,RES 4023,worship/gratitude
M08a,U+10A67,ḥ,ħ,Ḥ-R-B,war/battle,CIH 378,military conflict
M08b,U+10A67,ḥ,ħ,Ḥ-K-M,wisdom/judgment,CIH 556,judicial contexts
M08c,U+10A67,ḥ,ħ,Ḥ-Y-Y,life/to live,RES 3856,vitality
M08d,U+10A67,ḥ,ħ,Ḥ-R-Ṯ,to plow/cultivate,RES 3344,farming
M08e,U+10A67,ḥ,ħ,Ḥ-Y-Ṭ,wall/fortification,RES 3455,defensive structure
M08f,U+10A67,ḥ,ħ,Ḥ-L-F,oath/vow,CIS 445,legal commitment
M08g,U+10A67,ḥ,ħ,Ḥ-B-B,love/affection,CIS 567,emotional bond
M08h,U+10A67,ḥ,ħ,Ḥ-Z-N,sorrow/grief,CIS 445,mourning
M08i,U+10A67,ḥ,ħ,Ḥ-L-K,to go/walk,CIS 445,movement
M08j,U+10A67,ḥ,ħ,Ḥ-L-L,profane/common,RES 3856,non-sacred
M09,U+10A68,ṭ,tˤ,Ṭ-R-Q,path/road,CIH 234,travel route
M09a,U+10A68,ṭ,tˤ,Ṭ-Y-R,bird/flying,RES 4156,avian references
M09b,U+10A68,ṭ,tˤ,Ṭ-B-L,mountain/peak,CIH 378,elevated terrain
M09c,U+10A68,ṭ,tˤ,Ṭ-H-R,purity/cleanliness,RES 4221,ritual state
M09d,U+10A68,ṭ,tˤ,Ṭ-ʿ-M,taste/flavor,CIS 445,sensory experience
M10,U+10A69,y,j,Y-H-B,to give,CIH 398,donation/offering
M10a,U+10A69,y,j,Y-W-M,day/time,RES 3567,temporal unit
M10b,U+10A69,y,j,Y-D,hand/power,CIH 445,authority/strength
M10c,U+10A69,y,j,Y-Q-Ẓ,to wake/arise,CIH 378,awakening
M10d,U+10A69,y,j,Y-ʾ-S,despair/hopelessness,CIH 445,emotional distress
M10e,U+10A69,y,j,Y-M-N,right/oath,RES 4221,directional/commitment
M11,U+10A6A,k,k,K-T-B,to write/record,CIS 844,scribal activity
M11a,U+10A6A,k,k,K-R-M,honor/nobility,RES 4156,social status
M11b,U+10A6A,k,k,K-S-W,clothing/garment,CIS 445,textile reference
M11c,U+10A6A,k,k,K-D-B,lie/falsehood,CIS 445,moral failure
M11d,U+10A6A,k,k,K-F-R,denial/rejection,CIS 567,opposition
M11e,U+10A6A,k,k,K-L-B,dog,RES 3967,domestic animal
M12,U+10A6B,l,l,L-Y-L,night/darkness,CIS 445,temporal period
M12a,U+10A6B,l,l,L-Ḥ-M,flesh/meat,RES 3856,sacrificial offering
M12b,U+10A6B,l,l,L-ʿ-N,curse/malediction,RES 4156,protective formula
M12c,U+10A6B,l,l,L-S-N,tongue/language,CIH 556,communication organ
M12d,U+10A6B,l,l,L-B-S,to clothe/wear,CIS 445,garment usage
M13,U+10A6C,m,m,M-L-K,king/to rule,CIH 308,royal authority
M13a,U+10A6C,m,m,M-W-T,death/to die,CIS 567,mortality
M13b,U+10A6C,m,m,M-D-N,city/settlement,RES 4089,urban center
M13c,U+10A6C,m,m,M-G-N,shield/protection,CIS 445,defensive equipment
M13d,U+10A6C,m,m,M-Ṭ-R,rain/precipitation,RES 4221,weather phenomenon
M13e,U+10A6C,m,m,M-L-Ḥ,salt/seasoning,CIH 445,preservation/flavor
M13f,U+10A6C,m,m,M-ʾ,water/liquid,RES 3856,essential fluid
M13g,U+10A6C,m,m,M-N-ʿ,to prevent/withhold,CIS 567,restraint
M14,U+10A6D,n,n,N-Š-R,eagle/to protect,RES 4178,divine protection
M14a,U+10A6D,n,n,N-H-R,river/flowing water,CIS 534,water management
M14b,U+10A6D,n,n,N-W-R,fire/light,CIH 378,illumination
M14c,U+10A6D,n,n,N-F-S,soul/person,CIH 445,individual identity
M14d,U+10A6D,n,n,N-ʿ-L,sandal/shoe,CIH 556,footwear
M14e,U+10A6D,n,n,N-W-M,to sleep/rest,CIS 445,dormancy
M14f,U+10A6D,n,n,N-D-ʾ,to call/proclaim,CIS 567,public announcement
M14g,U+10A6D,n,n,N-J-S,impurity/defilement,CIS 445,ritual contamination
M14h,U+10A6D,n,n,N-Z-L,to descend/come down,RES 4156,downward movement
M15,U+10A6E,s,s,S-L-M,peace/safety,CIH 378,blessing formula
M15a,U+10A6E,s,s,S-M-ʾ,heaven/sky,CIH 445,celestial realm
M15b,U+10A6E,s,s,S-N-H,year/annual,CIH 556,chronological unit
M15c,U+10A6E,s,s,S-Y-F,sword/weapon,CIS 567,military equipment
M15d,U+10A6E,s,s,S-Q-F,roof/covering,RES 4221,architectural feature
M15e,U+10A6E,s,s,S-M-ʿ,to hear/listen,RES 4221,auditory perception
M15f,U+10A6E,s,s,S-K-T,silence/quiet,RES 4156,absence of sound
M15g,U+10A6E,s,s,S-B-Ḥ,glorification/praise,RES 3967,worship formula
M16,U+10A6F,ʿ,ʕ,ʿ-Y-N,eye/spring,CIH 556,vision/water source
M16a,U+10A6F,ʿ,ʕ,ʿ-L-M,knowledge/to know,RES 3967,wisdom
M16b,U+10A6F,ʿ,ʕ,ʿ-M-D,pillar/column,CIH 556,architectural support
M16c,U+10A6F,ʿ,ʕ,ʿ-Ẓ-M,bone/strength,CIS 567,structural element
M16d,U+10A6F,ʿ,ʕ,ʿ-H-D,covenant/treaty,CIH 556,diplomatic agreement
M16e,U+10A6F,ʿ,ʕ,ʿ-D-L,justice/fairness,CIH 556,moral righteousness
M16f,U+10A6F,ʿ,ʕ,ʿ-J-L,haste/urgency,CIS 445,temporal speed
M16g,U+10A6F,ʿ,ʕ,ʿ-B-D,servant/worshipper,CIS 341,religious devotion
M16h,U+10A6F,ʿ,ʕ,ʿ-S-L,honey/sweetness,RES 4221,natural product
M17,U+10A70,f,f,F-M,mouth/opening,CIS 567,anatomical/communication
M17a,U+10A70,f,f,F-H-M,understanding/comprehension,CIS 567,intellectual capacity
M17b,U+10A70,f,f,F-R-Ḥ,joy/celebration,RES 4156,festive emotion
M17c,U+10A70,f,f,F-Q-R,poverty/need,CIH 445,economic hardship
M17d,U+10A70,f,f,F-T-Ḥ,opening/victory,RES 3967,conquest/access
M17e,U+10A70,f,f,F-S-D,corruption/decay,CIS 567,moral/physical deterioration
M18,U+10A71,ṣ,sˤ,Ṣ-D-Q,righteousness/truth,CIH 377,moral integrity
M18a,U+10A71,ṣ,sˤ,Ṣ-X-R,rock/stone,RES 3967,geological formation
M18b,U+10A71,ṣ,sˤ,Ṣ-L-Ḥ,success/prosperity,CIS 567,blessing outcome
M18c,U+10A71,ṣ,sˤ,Ṣ-R-X,to cry/shout,CIH 445,vocal expression
M18d,U+10A71,ṣ,sˤ,Ṣ-W-M,fast/abstinence,CIS 567,ritual practice
M18e,U+10A71,ṣ,sˤ,Ṣ-B-R,patience/endurance,RES 4221,virtue/steadfastness
M18f,U+10A71,ṣ,sˤ,Ṣ-Y-D,hunting/capture,CIH 445,acquisition activity
M19,U+10A72,q,q,Q-B-R,grave/to bury,CIH 445,burial context
M19a,U+10A72,q,q,Q-R-Y,village/town,CIS 567,settlement
M19b,U+10A72,q,q,Q-L-B,heart/center,CIS 445,emotional/physical core
M19c,U+10A72,q,q,Q-Ṣ-R,to cut/harvest,CIS 623,agricultural activity
M19d,U+10A72,q,q,Q-W-S,bow/archer,CIH 445,military equipment
M19e,U+10A72,q,q,Q-D-S,holiness/sanctity,CIH 378,sacred quality
M19f,U+10A72,q,q,Q-Ḍ-Y,judge/arbiter,CIS 567,judicial authority
M19g,U+10A72,q,q,Q-R-ʾ,to read/recite,CIH 445,literary activity
M19h,U+10A72,q,q,Q-W-L,to say/speech,RES 3856,verbal communication
M19i,U+10A72,q,q,Q-W-Y,strength/power,CIH 378,physical might
M20,U+10A73,r,r,R-ʿ-Y,to shepherd/tend,RES 3785,pastoral care
M20a,U+10A73,r,r,R-M-L,sand/desert,CIS 445,arid landscape
M20b,U+10A73,r,r,R-W-Ḥ,spirit/breath,CIS 567,spiritual essence
M20c,U+10A73,r,r,R-ʾ-S,head/chief,CIS 445,leadership
M20d,U+10A73,r,r,R-J-L,foot/leg,RES 4221,anatomical limb
M20e,U+10A73,r,r,R-Ḥ-M,mercy/compassion,CIS 445,divine attribute
M20f,U+10A73,r,r,R-ʾ-Y,to see/perceive,CIS 445,visual perception
M20g,U+10A73,r,r,R-M-Ḥ,spear/lance,RES 4221,military weapon
M20h,U+10A73,r,r,R-J-ʾ,hope/expectation,CIS 567,future aspiration
M20i,U+10A73,r,r,R-K-B,to ride/mount,CIH 556,transportation
M21,U+10A74,š,ʃ,Š-M-S,sun/solar deity,RES 3044,celestial worship
M21a,U+10A74,š,ʃ,Š-R-B,to drink/imbibe,CIS 567,liquid consumption
M21b,U+10A74,š,ʃ,Š-H-R,month/lunar cycle,RES 4221,calendar unit
M21c,U+10A74,š,ʃ,Š-ʿ-R,hair/covering,CIH 445,natural protection
M21d,U+10A74,š,ʃ,Š-H-D,witness/testimony,CIH 445,legal evidence
M21e,U+10A74,š,ʃ,Š-K-R,gratitude/appreciation,CIH 445,thanksgiving
M21f,U+10A74,š,ʃ,Š-T-W,winter/cold season,RES 4221,seasonal period
M21g,U+10A74,š,ʃ,Š-R-Q,east/sunrise,CIS 445,directional/temporal
M22,U+10A75,t,t,T-W-B,repentance/return,CIS 567,spiritual renewal
M22a,U+10A75,t,t,T-Ḥ-T,under/beneath,RES 4156,positional preposition
M22b,U+10A75,t,t,T-J-R,merchant/trader,CIH 445,commercial profession
M22c,U+10A75,t,t,T-R-B,soil/earth,CIS 567,agricultural medium
M22d,U+10A75,t,t,T-S-ʿ,nine/ninefold,RES 3967,numerical concept
M22e,U+10A75,t,t,T-M-R,date/palm fruit,CIH 445,agricultural product
M23,U+10A76,ṯ,θ,ṯ-M-N,to establish/secure,RES 3027,foundation work
M23a,U+10A76,ṯ,θ,ṯ-L-Ṯ,three/triple,CIS 445,numerical concept
M23b,U+10A76,ṯ,θ,ṯ-W-R,bull/ox,RES 4156,livestock/strength
M23c,U+10A76,ṯ,θ,ṯ-M-R,fruit/produce,CIH 445,agricultural yield
M23d,U+10A76,ṯ,θ,ṯ-Q-L,heavy/weight,RES 3967,physical property
M24,U+10A77,x,x,X-R-J,to go out/exit,RES 3967,departure movement
M24a,U+10A77,x,x,X-T-M,seal/signet,RES 3967,authentication tool
M24b,U+10A77,x,x,X-W-F,fear/dread,CIH 556,emotional response
M24c,U+10A77,x,x,X-W-N,betrayal/treachery,RES 3856,broken trust
M24d,U+10A77,x,x,X-Ṭ-ʾ,sin/error,CIH 445,moral failure
M24e,U+10A77,x,x,X-L-Q,creation/formation,CIS 567,divine activity
M24f,U+10A77,x,x,X-M-R,wine/fermented drink,RES 4221,alcoholic beverage
M25,U+10A78,ḏ,ð,Ḏ-H-B,gold/precious metal,CIH 445,valuable commodity
M25a,U+10A78,ḏ,ð,Ḏ-K-R,male/masculine,RES 3967,gender designation
M25b,U+10A78,ḏ,ð,Ḏ-R-ʿ,arm/forearm,CIS 567,anatomical limb
M25c,U+10A78,ḏ,ð,Ḏ-N-B,tail/appendage,CIH 445,anatomical feature
M25d,U+10A78,ḏ,ð,Ḏ-ʾ-B,wolf/predator,RES 4156,wild animal
M26,U+10A79,ġ,ɣ,Ġ-N-Y,wealth/riches,CIS 567,material prosperity
M26a,U+10A79,ġ,ɣ,Ġ-R-B,west/sunset,CIH 445,directional/temporal
M26b,U+10A79,ġ,ɣ,Ġ-Z-L,gazelle/antelope,RES 4156,desert fauna
M26c,U+10A79,ġ,ɣ,Ġ-Y-M,cloud/sky covering,CIS 567,meteorological
M26d,U+10A79,ġ,ɣ,Ġ-S-L,washing/cleansing,RES 4221,purification
M27,U+10A7A,p,p,P-R-S,horse/equine,CIH 445,transportation animal
M27a,U+10A7A,p,p,P-T-Ḥ,opening/aperture,RES 3967,access point
M27b,U+10A7A,p,p,P-R-D,individual/single,CIS 567,unit designation
M27c,U+10A7A,p,p,P-L-K,spindle/spinning tool,CIH 445,textile production
M27d,U+10A7A,p,p,P-ʿ-L,action/deed,RES 4221,behavioral concept
M28,U+10A7B,ṗ,p',Ṗ-L-G,division/section,CIS 567,administrative unit
M28a,U+10A7B,ṗ,p',Ṗ-R-Y,fruit/offspring,CIH 445,productive yield
M28b,U+10A7B,ṗ,p',Ṗ-Q-D,attention/care,RES 3967,mindful oversight
M28c,U+10A7B,ṗ,p',Ṗ-S-L,prayer/petition,CIS 445,religious request
M29,U+10A7C,ṯ̣,θ',Ṯ̣-H-R,back/posterior,RES 4156,anatomical/positional
M29a,U+10A7C,ṯ̣,θ',Ṯ̣-L-L,shade/shadow,CIH 445,protective covering
M29b,U+10A7C,ṯ̣,θ',Ṯ̣-F-R,nail/claw,CIS 567,anatomical feature
M29c,U+10A7C,ṯ̣,θ',Ṯ̣-M-ʾ,thirst/dryness,RES 4221,physical need
M30,U+10A7D,ḫ,χ,Ḫ-L-Q,smooth/polished,CIH 445,surface quality
M30a,U+10A7D,ḫ,χ,Ḫ-R-B,ruin/destruction,RES 3856,devastation
M30b,U+10A7D,ḫ,χ,Ḫ-W-F,fear/terror,CIS 567,intense emotion
M30c,U+10A7D,ḫ,χ,Ḫ-Ḍ-R,green/vegetation,CIH 445,plant life
M30d,U+10A7D,ḫ,χ,Ḫ-Y-R,good/beneficial,RES 4221,positive quality
M31,U+10A7E,ẓ,ðˤ,Ẓ-L-M,darkness/injustice,RES 3856,moral/physical shadow
M31a,U+10A7E,ẓ,ðˤ,Ẓ-H-R,noon/midday,CIS 567,temporal peak
M31b,U+10A7E,ẓ,ðˤ,Ẓ-F-R,victory/triumph,CIH 445,successful outcome
M31c,U+10A7E,ẓ,ðˤ,Ẓ-L-L,remaining/staying,RES 4156,persistence
M31d,U+10A7E,ẓ,ðˤ,Ẓ-R-F,container/vessel,CIS 445,storage implement
M32,U+10A7F,ḍ,dˤ,Ḍ-ʿ-F,weakness/frailty,RES 3856,human limitation
M32a,U+10A7F,ḍ,dˤ,Ḍ-R-B,striking/beating,CIH 445,percussive action
M32b,U+10A7F,ḍ,dˤ,Ḍ-L-ʿ,rib/side,CIS 567,anatomical feature
M32c,U+10A7F,ḍ,dˤ,Ḍ-Y-F,guest/visitor,RES 4221,hospitality context
M32d,U+10A7F,ḍ,dˤ,Ḍ-W-ʾ,light/illumination,CIH 445,luminous quality
